id,name,price,quantity,description
2,"Quần jean",20318,177,"Molestias itaque repellendus quia et rem id quis ea. Est dolore molestias delectus molestias aperiam accusantium cumque. Repellat repudiandae laudantium non tempora et."
3,"Áo sơmi",41439,85,"Sapiente et non blanditiis fugiat. Rerum magnam cupiditate et qui quia enim. Id ut asperiores voluptas."
4,Giày,91911,58,"Adipisci quisquam qui delectus cupiditate omnis quia rerum aut. Delectus molestiae eos aliquid ut. Et sit exercitationem dolor earum eaque est."
5,"Giày cao gót",87245,164,"Nostrum illum eum velit voluptatem eligendi quia. Qui ducimus autem et hic ex. Suscipit fugit voluptatem et."
6,"Quần short",34691,14,"Deserunt ut similique dolore unde nam laudantium. Dolore odit iure fuga officia nostrum eius voluptates. Quas qui nesciunt nostrum. Qui quod mollitia nobis assumenda voluptas eligendi omnis."
7,"Áo ba lỗ",40133,141,"Architecto dolor libero ex veritatis reiciendis. Laudantium at nobis qui totam enim. Sunt distinctio officia enim."
8,Nón,494,159,"Voluptatem pariatur rerum consequuntur blanditiis harum. Ex qui accusantium architecto molestiae sunt laboriosam sit. Voluptas consequatur voluptates quod deserunt. Molestiae velit at dignissimos et."
9,"Dây chuyền",5000000,50,"Chế tác tinh xảo, tỉ mỉ, cầu kỳ từng chi tiết
Dây mĩ kí mạ vàng 18k
Dây dạng xoắn độc đáo, mới lạ
Thiết kế đơn giản mà sang trọng, tinh tế
Tôn nét đẹp thời thượng của nam gioi hiện đại
Phối hợp đẹp mắt với các loại quần áo, trang phục
Trang sức là vật bất ly thân của mọi cô gái, tôn lên nét đẹp duyên dáng, cá tính, hay sang trọng của phái nữ. Dây chuyền, vòng cổ nữ dạng xoắn là một sản phẩm đặc sắc nằm trong bộ sưu tập phụ kiện thời trang, trang sức  mà mn Shop đang bán trên thị trường nói chung. 
Dây chuyền dạng xoắn, được mạ vàng 18K với chế tác tinh xảo, cầu kỳ, đẹp mắt sẽ làm nổi bật người đeo nó. Với sản phẩm này bạn hoàn toàn tự tin dạo bước đi bất cứ nơi đâu.
Sản phẩm phù hợp làm quà tặng cho người yêu, người thân, tặng chị, tặng mẹ nhân dịp ngày lễ lớn trong năm."
10,"Dr. Freddy Dooley Sr.",84072,85,"Ut quia quibusdam reprehenderit molestiae. Iure reprehenderit facere beatae sed quam. In necessitatibus minus explicabo est vel nesciunt. Vero architecto illum illum vero."
11,"Marilie Bailey",23496,92,"Exercitationem quasi voluptas id nemo exercitationem sunt. Et laborum sit id vel et aut et."
